,微博正文,发布时间,ip
306,"['位于', '加沙', '地带', '南部', '拉法', '迎来', '大雨', '程度', '缓解', '当地', '淡水', '资源', '紧张', '恶劣', '生存环境', '短缺', '物资', '依然', '摆在', '加沙', '民众', '面前', '难题', '这场', '大雨', '可谓', '令人', '喜忧参半', '巴以', '新一轮', '大规模', '冲突', '持续', '国际', '时讯', '微博', '视频']",2023/11/15 22:52,
309,"['巴以冲突', '本质', '阴阳', '智慧', '极端', '愚昧', '极端', '智慧', '极致', '暗中', '操纵', '世界', '光明', '共济会', '彼得', '格林', '俱乐部', '愚昧', '极致', '自毁', '形式', '暴力', '天堂', '处女', '导致', '极致', '暴力', '二者', '破坏', '世界', '世界', '自发', '内在', '秩序', '无疑', '二者', '空中', '相遇', '耗损']",2023/11/15 22:49,
312,"['巴以冲突', '救援', '物资', '运抵', '加沙城', '当地', '时间', '临时', '停火协议', '正式', '生效', '运载', '人道主义', '救援', '物资', '卡车', '抵达', '位于', '加沙', '地带', '北部', '加沙城', '巴以冲突', '爆发', '人道主义', '救援', '物资', '运入', '加沙城', '总台', '报道', '物资', '包括', '面粉', '药品', '医疗', '用品', '以色列', '巴勒斯坦', '冲突', '网页', '链接', '视频', '微博', '视频']",2023/11/27 23:15,
316,"['北约', '重申', '乌克兰', '提供', '长期', '支持', '央视', '新闻', '当地', '时间', '北约', '秘书长', '斯托尔', '贝格', '北约', '外长', '发言', '布鲁塞尔', '北约', '外长', '聚焦', '冲突', '巴以冲突', '议题', '斯托尔', '贝格', '北约', '重申', '乌克兰', '长期', '支持', '同意', '乌克兰', '优先', '改革', '建议', '支持', '乌克兰', '北约', '发言', '斯托尔', '贝格', '呼吁', '延长', '加沙', '地带', '临时', '停火协议']",2023/11/27 23:02,
317,"['巴勒斯坦', '加沙', '高高的', '屋檐', '女童', '孤零零', '瓦砾', '或许', '摇篮', '安安静静', '睡着', '嘴角', '微笑', '小天使', '飞机', '飞过', '炸弹', '落下', '小小的', '飞上了', '房顶', '梦乡', '再也', '睁开', '令人', '心痛', '难怪', '巴勒斯坦', '儿童', '长不大', '竟是', '真的', '无怪乎', '联合国', '秘书长', '加沙', '儿童', '坟墓', '巴以冲突']",2023/11/26 23:30,
321,"['巴以冲突', '也门', '胡塞', '扣押', '油轮', '以色列', '航运', '巨头', '旗下', '管理', '拥有', '以色列', '土耳其', '船长', '俄罗斯', '越南', '保加利亚', '印度', '格鲁吉亚', '菲律宾', '公民', '多国', '船员', '负责', '操作', '船上', '载有', '磷酸', '也门', '胡塞', '手中']",2023/11/26 23:29,
328,"['泽连斯基', '巴以冲突', '减少', '国际', '关注', '德国', '图片', '报道', '美国', '德国', '逼迫', '乌克兰', '总统', '泽连斯基', '求和', '柏林', '华盛顿', '乌军', '定量', '提供', '武器', '仅够', '守住', '防线', '希望', '以此', '乌克兰', '意识', '夺回', '领土', '乌克兰', '西方', '支持者', '正向', '和平谈判', '倾斜', '泽连斯基', '公开', '排除', '可能性', '卸磨杀驴']",2023/11/25 23:01,
329,"['打仗', '俄乌', '两国', '悲剧', '前线', '战壕', '天上', '下着雪', '士兵', '睡袋', '瑟瑟', '发抖', '逃跑', '逃跑', '督战', '发现', '战地', '处决', '乌克兰', '男人', '打光', '士兵', '越来越', '后方', '服役', '女兵', '拉到', '俄罗斯', '乌克兰', '持续', '战争', '带来', '不少', '厌战情绪', '不少', '士兵', '前线', '消极怠工', '情形', '一战', '耗不起', '主动', '投降', '巴以冲突', '军武吐槽', '微博', '视频']",2023/11/25 23:01,
363,"['过于', '心理', '缺陷', '类人', '追求', '完美', '性格', '敏感', '急躁', '纠结', '担忧', '身边', '意愿', '价值观', '相冲突', '人和事', '标准', '标准', '衡量', '事物', '包括', '导致', '内心', '冲突', '积压', '负面', '情绪', '消极', '想法', '活得', '特别', '特别', '时间', '焦虑', '抑郁']",2023/11/21 23:39,
375,"['以色列', '国土报', '披露', '警方', '证实', '军用', '直升机', '新星', '期间', '哈马斯', '开火', '击中', '平民', '视频', '显示', '阿帕奇', '直升机', '杀死', '逃离', '平民', '飞行员', '承认', '不分青红皂白', '射击', '内塔尼亚胡', '隐瞒', '军方', '充当', '屠夫', '事实真相', '天恩', '中方', '沟通', '协调', '推动', '巴以冲突', '降温', '天恩', '微博', '视频']",2023/11/19 23:34,
